Neighborhood,District,Latitude,Longitude
Bucktown,Logan Square,41.913688799999996,-87.6820343
Kosciuszko Park,Logan Square,41.9306978,-87.72449524577931
Logan Square,Logan Square,41.928399600000006,-87.7067641113273
Palmer Square,Logan Square,41.921085,-87.7046488803028
East Pilsen,Lower West Side,41.8560101,-87.656306
Heart of Chicago,Lower West Side,41.6817064,-87.6710891487011
Lower West Side,Lower West Side,41.8541996,-87.66560859999998
Pilsen,Lower West Side,41.8560101,-87.656306
McKinley Park,McKinley Park,41.8316997,-87.67366379999999
Montclare,Montclare,41.9253091,-87.8008931
Morgan Park,Morgan Park,41.6903117,-87.66671559999999
Kennedy Park,Morgan Park,41.68722635,-87.68348164192498
West Morgan Park,Morgan Park,41.6903117,-87.66671559999999
Mount Greenwood,Mount Greenwood,41.6980891,-87.7086616
Cabrini-Green,Near North Side,41.8988049,-87.6409372
Gold Coast,Near North Side,41.9066994,-87.6253308
Goose Island,Near North Side,41.9039703,-87.65374752593121
Magnificent Mile,Near North Side,41.8945229,-87.624228
Near North Side,Near North Side,41.900032700000004,-87.6344975
River North,Near North Side,41.94665865,-87.74433794978071
Streeterville,Near North Side,41.8933653,-87.62199670000001
Central Station,Near South Side,41.8873357,-87.7653497
Dearborn Park,Near South Side,41.8665526,-87.62895387063351
Museum Campus,Near South Side,41.865212,-87.61775899999999
Prairie Avenue Historic DIstrict,Near South Side,41.8564221,-87.6208847
Greektown,Near West Side,41.8784447,-87.64693179999999
Illinois Medical District,Near West Side,41.86897625,-87.67513916606221
Little Italy,Near West Side,41.86898915,-87.6485625597018
Near West Side,Near West Side,41.8800656,-87.66676240000001
Tri-Taylor,Near West Side,41.869720799999996,-87.6424057
University Village,Near West Side,41.8761445,-87.62516120000001
West Loop,Near West Side,41.882331799999996,-87.6385777
Back of the Yards,New City,41.80753320000001,-87.66616280000001
Canaryville,New City,41.814755600000005,-87.64032879999999
New City,New City,41.807533299999996,-87.6564403
North Center,North Center,41.9561073,-87.67915959999999
Roscoe Village,North Center,41.943402899999995,-87.6791415
DOuglas Park,North Lawndale,41.8600662,-87.69935465963921
Homan Square,North Lawndale,41.86852055,-87.70939862196501
K-Town,North Lawndale,41.90209155,-87.6421333679348
